Unnamed: 0,Country,CO₂ kg/$
1,North Korea,1.18
2,Trinidad and Tobago,1.16
3,Mongolia,1.09
4,Kazakhstan,0.72
5,South Africa,0.65
6,China,0.57
7,Libya,0.54
8,Ukraine,0.54
9,Bosnia and Herzegovina,0.53
10,Syria,0.53
11,Bahrain,0.52
12,Zimbabwe,0.52
13,Turkmenistan,0.52
14,Estonia,0.51
15,Iran,0.5
16,Russia,0.47
17,Serbia,0.44
18,Lesotho,0.44
19,Laos,0.44
20,Oman,0.42
21,Jamaica,0.42
22,Iraq,0.42
23,Vietnam,0.41
24,Kyrgyzstan,0.38
25,Saudi Arabia,0.37
26,Barbados,0.37
27,Kuwait,0.35
28,Canada,0.35
29,Belarus,0.35
30,Uzbekistan,0.35
31,Malaysia,0.35
32,South Korea,0.34
33,Australia,0.34
34,Venezuela,0.33
35,Bulgaria,0.33
36,Czech Republic,0.33
37,Poland,0.32
38,Bolivia,0.31
39,United States,0.3
40,Algeria,0.29
41,India,0.29
42,Saint Lucia,0.29
43,Greece,0.29
44,United Arab Emirates,0.29
45,Benin,0.28
46,Mauritania,0.28
47,Liberia,0.27
48,Luxembourg,0.27
49,Taiwan,0.27
50,Lebanon,0.27
51,Senegal,0.26
52,Cyprus,0.26
53,Equatorial Guinea,0.26
54,Turkey,0.26
55,Macedonia,0.25
56,Thailand,0.25
57,Slovakia,0.25
58,Cuba,0.24
59,Cambodia,0.24
60,Dominica,0.24
61,Mozambique,0.24
62,Slovenia,0.24
63,Iceland,0.24
64,Tajikistan,0.24
65,Jordan,0.24
66,Qatar,0.24
67,Mexico,0.24
68,Japan,0.23
69,Moldova,0.23
70,Tunisia,0.23
71,Republic of the Congo,0.22
72,Belgium,0.22
73,Ecuador,0.22
74,Argentina,0.22
75,Honduras,0.22
76,Israel,0.22
77,Azerbaijan,0.22
78,Seychelles,0.22
79,Finland,0.21
80,Morocco,0.21
81,Botswana,0.21
82,New Zealand,0.21
83,Croatia,0.21
84,Romania,0.21
85,Comoros,0.21
86,Chile,0.2
87,Montenegro,0.2
88,Egypt,0.2
89,Hungary,0.2
90,Indonesia,0.2
91,Germany,0.19
92,Netherlands,0.19
93,Guinea,0.19
94,Portugal,0.19
95,Togo,0.19
96,Nepal,0.18
97,Spain,0.18
98,Haiti,0.18
99,Namibia,0.18
100,Lithuania,0.18
101,Armenia,0.17
102,Austria,0.17
103,Sao Tome and Principe,0.17
104,Nicaragua,0.17
105,Georgia,0.17
106,Pakistan,0.17
107,Italy,0.17
108,Latvia,0.17
109,Mauritius,0.16
110,Gabon,0.16
111,Brazil,0.16
112,Afghanistan,0.16
113,Burkina Faso,0.16
114,Dominican Republic,0.16
115,Philippines,0.16
116,Yemen,0.15
117,Gambia,0.15
118,Cape Verde,0.15
119,United Kingdom,0.15
120,Albania,0.15
121,Guatemala,0.15
122,Ghana,0.14
123,Peru,0.14
124,Mali,0.13
125,Djibouti,0.13
126,Angola,0.13
127,Denmark,0.13
128,Paraguay,0.13
129,Cameroon,0.13
130,Panama,0.13
131,France,0.12
132,Ireland,0.12
133,Palestine,0.12
134,Zambia,0.12
135,Bangladesh,0.12
136,Swaziland,0.12
137,El Salvador,0.12
138,Hong Kong,0.11
139,Guinea-Bissau,0.11
140,Costa Rica,0.11
141,Singapore,0.11
142,Myanmar,0.11
143,Kenya,0.1
144,Madagascar,0.1
145,Côte d'Ivoire,0.1
146,Nigeria,0.1
147,Malta,0.1
148,Norway,0.1
149,Sierra Leone,0.1
150,Uruguay,0.1
151,Burundi,0.09
152,Sweden,0.09
153,Niger,0.09
154,Sri Lanka,0.08
155,Ethiopia,0.08
156,Tanzania,0.07
157,Malawi,0.07
158,Switzerland,0.07
159,Uganda,0.07
160,Chad,0.06
161,Central African Republic,0.06
162,Rwanda,0.06
163,DR Congo,0.03
